,LSOA,crime_per_1000,Postcode,LSOA2,Latitude,Longitude
82,E01000090,81.45065398335315,RM9 6LE,E00000434,51.516456,0.147625
83,E01000091,91.40369967355821,IG110LX,E00000456,51.526503999999996,0.10878299999999999
84,E01000092,138.88107956142818,IG110GX,E00175107,51.523214,0.107708
85,E01000093,113.82598331346841,IG110LF,E00000465,51.527772,0.09877899999999999
86,E01000094,88.25701624815362,IG110QZ,E00000477,51.527190999999995,0.11460999999999999
87,E01000095,253.55579868708972,IG110UE,E00000464,51.529596000000005,0.133753
88,E01000096,134.22131147540983,IG110WE,E00000474,51.531192,0.110153
89,E01000097,73.47876004592423,RM8 1RF,E00000485,51.562595,0.12654
90,E01000098,104.45757250268528,RM8 3YP,E00000489,51.559706,0.125669
91,E01000099,56.839186691312385,RM8 1RH,E00000488,51.562057,0.134421
92,E01000100,56.831566548881035,RM8 3JL,E00000495,51.559764,0.13588699999999998
93,E01000101,80.14142604596347,RM8 3HP,E00000498,51.559373,0.141048
94,E01000102,58.32813474734872,RM8 3AG,E00000502,51.557621000000005,0.135007
95,E01000103,52.63157894736842,RM109YN,E00000537,51.534171,0.166757
96,E01000104,101.22878876535987,RM109YX,E00000524,51.539231,0.16298800000000002
97,E01000105,163.68515205724506,RM109RH,E00000521,51.540349,0.1511
98,E01000106,119.66236345580933,RM109TB,E00000526,51.539021999999996,0.160671
99,E01000107,45.59088182363527,RM108DA,E00000514,51.541382,0.176026
100,E01000108,94.67084639498432,RM108AH,E00000541,51.543009000000005,0.165403
101,E01000109,75.79933847850056,RM8 1HP,E00000546,51.566852000000004,0.139725
102,E01000110,48.26388888888889,RM6 6BB,E00000562,51.57434,0.147264
103,E01000111,98.54927463731866,RM8 1BQ,E00000551,51.565639000000004,0.146075
104,E01000112,68.10215322984477,RM6 6LX,E00000570,51.571397,0.137052
105,E01000113,98.94678492239468,RM6 6JH,E00000571,51.570615999999994,0.135486
106,E01000114,93.93939393939394,RM8 1LU,E00000552,51.565148,0.148331
107,E01000115,44.52753229095853,N14 5LH,E00000611,51.638681,-0.142627
108,E01000116,51.96241017136539,EN4 8LA,E00000612,51.635145,-0.14702
109,E01000117,61.68478260869565,EN4 8NH,E00000615,51.63475,-0.157368
110,E01000118,43.7037037037037,N11 1EU,E00000579,51.630434,-0.149957
111,E01000119,39.23831506058857,N14 5BD,E00000582,51.631764000000004,-0.133951
112,E01000120,42.88563829787234,N14 5JS,E00000619,51.634106,-0.142713
113,E01000121,49.29577464788732,N11 1DS,E00000595,51.628358,-0.147715
114,E01000122,33.28938694792353,N14 7LG,E00000601,51.625918,-0.13617
115,E01000123,73.58053302433372,N11 1HZ,E00000603,51.622127,-0.149501
116,E01000124,191.48936170212767,N11 1WU,E00000607,51.618852000000004,-0.141978
117,E01000125,93.53970390309556,HA8 0EF,E00174920,51.606959,-0.272351
118,E01000126,65.625,NW9 5LB,E00000665,51.600881,-0.254763
119,E01000127,63.18859364873623,HA8 0RA,E00000650,51.605209,-0.262208
120,E01000128,55.70291777188329,HA8 0DL,E00000628,51.598343,-0.26369699999999996
121,E01000129,167.5603217158177,HA8 0BP,E00000627,51.598006,-0.264056
122,E01000130,62.13704994192799,NW9 5LH,E00000656,51.603243,-0.252766
123,E01000131,58.44155844155844,NW9 5AT,E00000623,51.596781,-0.259021
124,E01000132,55.74098798397864,HA8 0PS,E00000634,51.609582,-0.256986
125,E01000133,52.36907730673317,HA8 0JF,E00000645,51.606242,-0.250644
126,E01000134,43.78019323671498,HA8 0TQ,E00000643,51.606764,-0.265816
127,E01000135,59.58702064896755,NW2 2AP,E00000708,51.565466,-0.19803099999999998
128,E01000136,58.78674171357098,NW117ST,E00000705,51.568878000000005,-0.187781
129,E01000137,61.07954545454545,NW2 2ZF,E00000678,51.562701000000004,-0.20241099999999998
130,E01000138,76.2879788639366,NW2 2NR,E00000720,51.562425,-0.203763
131,E01000139,66.66666666666667,NW2 2QN,E00000672,51.562571000000005,-0.19865
132,E01000140,80.60531192093885,NW2 2QJ,E00000716,51.562866,-0.197946
133,E01000141,265.8748286888991,NW2 1EY,E00000685,51.55704,-0.214506
134,E01000142,48.917568692756035,NW2 7WD,E00174902,51.562193,-0.21335199999999999
135,E01000143,81.75895765472313,NW2 2RU,E00000684,51.556542,-0.21130900000000002
136,E01000144,119.96445497630332,NW118LB,E00000693,51.57332,-0.19824
137,E01000145,58.41708542713568,NW118QH,E00000692,51.572823,-0.202199
138,E01000146,246.20770128354727,NW118NE,E00000702,51.569154,-0.196947
139,E01000147,31.30103429504627,NW9 6SP,E00000730,51.588606,-0.25046999999999997
140,E01000148,111.2457586039748,NW9 6DE,E00000768,51.592110999999996,-0.252154
141,E01000150,99.90662931839402,NW9 6JX,E00174911,51.583666,-0.244294
142,E01000151,118.7923250564334,NW9 5XG,E00000748,51.600858,-0.242346
143,E01000152,63.768115942028984,NW9 5TR,E00000742,51.603784999999995,-0.24630500000000002
144,E01000153,81.1965811965812,NW7 2LF,E00000723,51.607119,-0.24556999999999998
145,E01000154,110.86765994741454,NW9 5PP,E00000751,51.599693,-0.24262199999999998
146,E01000155,118.36734693877551,NW9 5DD,E00000755,51.598582,-0.248903
147,E01000156,57.952834922227794,N10 1HJ,E00000804,51.599641,-0.149173
148,E01000157,47.902316844082655,N10 2JA,E00000793,51.604442999999996,-0.14691300000000002
149,E01000158,77.30263157894737,N11 3HH,E00000806,51.617156,-0.15191300000000002
150,E01000159,58.36575875486381,N20 0XD,E00000812,51.621021999999996,-0.15870399999999998
151,E01000160,111.61731207289294,N11 3EG,E00000813,51.615424,-0.145815
152,E01000161,90.51504334523203,N11 3EU,E00000818,51.61476,-0.14935199999999998
153,E01000162,92.68443893366397,N12 0LU,E00000785,51.611301,-0.15808699999999998
154,E01000163,61.29807692307692,N10 2RS,E00000792,51.606673,-0.144035
155,E01000164,186.4218141346689,N11 3NN,E00000791,51.607495,-0.15167
156,E01000165,50.67024128686327,N11 3PQ,E00000786,51.610343,-0.151525
157,E01000166,53.979025293029,EN4 9HR,E00000866,51.654747,-0.155531
158,E01000167,74.69969969969969,EN4 9BS,E00000865,51.653995,-0.168963
159,E01000168,43.47826086956522,EN4 9DY,E00000832,51.651,-0.15626099999999998
160,E01000169,56.88429217840982,EN4 9TH,E00000828,51.650873,-0.16134
161,E01000170,71.08721624850656,EN4 9SN,E00000842,51.646330999999996,-0.166453
162,E01000171,128.41253791708795,EN4 8AT,E00000843,51.646753000000004,-0.171625
163,E01000172,40.15020219526285,EN4 8QG,E00000857,51.643198,-0.149033
164,E01000173,48.29381145170618,EN4 8HN,E00000860,51.640228,-0.158635
165,E01000174,76.02012297372835,EN4 8DF,E00000851,51.640877,-0.167901
166,E01000175,39.97501561524047,EN4 8EN,E00000861,51.637226,-0.160389
167,E01000176,46.441495778045834,N2  0UT,E00000904,51.593162,-0.179899
168,E01000177,42.1266705403835,N2  0SL,E00000899,51.592819,-0.17461400000000002
169,E01000178,47.986762272476554,N2  9BD,E00000895,51.594228,-0.164625
170,E01000179,48.0,N2  8JX,E00000870,51.594691999999995,-0.176517
171,E01000180,51.692865779927445,N2  2DL,E00000903,51.590765999999995,-0.16756500000000002
172,E01000181,83.56545961002786,N2  8BA,E00000911,51.589713,-0.16459000000000001
173,E01000182,80.64516129032258,N2  8AW,E00000920,51.587905,-0.164548
174,E01000183,42.732166890982505,N2  0SZ,E00000908,51.591656,-0.177924
175,E01000184,63.68821292775666,N2  8LA,E00000882,51.597565,-0.173327
176,E01000185,58.485463150777555,N2  8NL,E00000889,51.595727000000004,-0.173097
177,E01000186,30.54567022538553,HA8 8FB,E00000930,51.623781,-0.27581500000000003
178,E01000187,36.599763872491145,HA8 8TD,E00000923,51.626478999999996,-0.269789
179,E01000188,95.11568123393316,HA8 8QJ,E00000925,51.626595,-0.28069299999999997
180,E01000189,59.195402298850574,HA8 8LE,E00000933,51.621918,-0.290462
181,E01000190,43.859649122807014,HA8 7UE,E00000947,51.617329999999995,-0.287254
182,E01000191,35.23489932885906,HA8 8HU,E00000935,51.622367,-0.283063
183,E01000192,137.34567901234567,HA8 7JL,E00000953,51.613783000000005,-0.27654
184,E01000193,240.67063277447267,HA8 4NE,E00000957,51.613334,-0.2778
185,E01000194,139.03281519861832,HA8 9WG,E00000955,51.61437,-0.271188
186,E01000195,115.77270313329794,HA8 8GD,E00000962,51.630266999999996,-0.270541
187,E01000196,105.88842975206612,N3  1SA,E00000991,51.59917,-0.19747699999999999
188,E01000197,58.73340143003064,N3  2SU,E00001004,51.596095,-0.189325
189,E01000198,38.59561752988048,N3  3EQ,E00000970,51.59525,-0.208706
190,E01000199,42.270531400966185,N3  1UB,E00000972,51.600901,-0.20308299999999999
191,E01000200,43.298969072164944,N3  3PD,E00000969,51.593511,-0.201426
192,E01000201,57.31225296442688,N3  3NF,E00000971,51.593212,-0.198319
193,E01000202,40.40404040404041,N3  3JU,E00001010,51.5941,-0.19936700000000002
194,E01000203,58.172531214528945,N3  2SX,E00000967,51.594728,-0.187575
195,E01000204,66.64726426076834,NW7 1LN,E00000984,51.604473999999996,-0.207346
196,E01000205,68.51497769279796,NW116JS,E00001036,51.584965999999994,-0.188945
197,E01000206,86.61926308985132,NW116TR,E00001015,51.574498,-0.18195799999999998
198,E01000207,62.62167423750811,NW116PL,E00001051,51.579852,-0.185656
199,E01000208,61.271297509829616,N2  0AE,E00001038,51.585252000000004,-0.171468
200,E01000209,52.69922879177378,NW117AA,E00001045,51.581353,-0.19199000000000002
